id,char,numeric
235,a,0.546016759
236,b,0.560500954
237,c,0.013771748
238,d,0.134054922
239,e,0.581148376
240,f,0.199705777
241,g,0.669417966
242,h,0.854908627
243,i,0.713273306
244,j,0.922922345
245,k,0.574295678
246,l,0.340268088
247,m,0.639901442
248,n,0.898811369
249,o,0.565793506
250,p,0.030238604
251,q,0.861693498
252,r,0.381230495
253,s,0.89782268
254,t,0.315932932
255,u,0.466254119
256,v,0.158871894
257,w,0.482189198
258,x,0.055190295
259,y,0.280796734
260,z,0.51964117
261,a,0.332583395
262,b,0.693719002
263,c,0.860857774
264,d,0.543983663
265,e,0.93843011
266,f,0.033580823
267,g,0.682204023
268,h,0.903042131
269,i,0.547422811
270,j,0.998165316
271,k,0.890972225
272,l,0.885183938
273,m,0.322695137
274,n,0.815098306
275,o,0.45273806
276,p,0.61623871
277,q,0.354959953
278,r,0.331216356
279,s,0.265548592
280,t,0.445526303
281,u,0.737024558
282,v,0.638467996
283,w,0.818172768
284,x,0.712191855
285,y,0.186057663
286,z,0.318622129
287,a,0.937505809
288,b,0.975911407
289,c,0.545020689
290,d,0.518739084
291,e,0.80927561
292,f,0.826928769
293,g,0.129604333
294,h,0.294852182
295,i,0.423906622
296,j,0.853859748
297,k,0.029923236
298,l,0.324974247
299,m,0.379829519
300,n,0.034231788
301,o,0.584989057
302,p,0.680952526
303,q,0.848239127
304,r,0.594121401
305,s,0.357354331
306,t,0.662637388
307,u,0.345651288
308,v,0.071176371
309,w,0.894845787
310,x,0.70473406
311,y,0.976934321
312,z,0.633074246
313,a,0.194104483
314,b,0.321480069
315,c,0.733309649
316,d,0.081660588
317,e,0.151152933
318,f,0.539721274
319,g,0.980509416
320,h,0.160547816
321,i,0.517817239
322,j,0.503359826
323,k,0.411234675
324,l,0.829196858
325,m,0.769696545
326,n,0.94261417
327,o,0.891140237
328,p,0.215762589
329,q,0.453196035
330,r,0.462746272
331,s,0.038928445
332,t,0.780410337
333,u,0.152640951
334,v,0.778132096
335,w,0.719429636
336,x,0.917561631
337,y,0.714999989
338,z,0.235562512
339,a,0.34281552
340,b,0.231282402
341,c,0.36318634
342,d,0.724244537
343,e,0.047183297
344,f,0.48536685
345,g,0.059253218
346,h,0.256346028
347,i,0.926101955
348,j,0.535083934
349,k,0.123880304
350,l,0.194122769
351,m,0.245371769
352,n,0.987664144
353,o,0.637041304
354,p,0.607438592
355,q,0.279566262
356,r,0.657205945
357,s,0.62847231
358,t,0.096505021
359,u,0.583231439
360,v,0.636349259
361,w,0.03962922
362,x,0.218217937
363,y,0.697258679
364,z,0.40501413
365,a,0.68456748
366,b,0.500431176
367,c,0.660937965
368,d,0.773021426
369,e,0.938780278
370,f,0.575464302
371,g,0.719658402
372,h,0.872174026
373,i,0.608126115
374,j,0.027007442
375,k,0.801322361
376,l,0.415939186
377,m,0.98577108
378,n,0.275072002
379,o,0.945803297
380,p,0.845732557
381,q,0.759982587
382,r,0.015247775
383,s,0.333500945
384,t,0.27758151
385,u,0.711168701
386,v,0.970212406
387,w,0.179288753
388,x,0.009528871
389,y,0.70459885
390,z,0.92642662
391,a,0.74693195
392,b,0.441620152
393,c,0.827494941
394,d,0.149104452
395,e,0.753571118
396,f,0.48872725
397,g,0.632928072
398,h,0.03584342
399,i,0.195457973
400,j,0.37157307
401,k,0.428974314
402,l,0.347766328
403,m,0.729088596
404,n,0.675890101
405,o,0.167793657
406,p,0.678718764
407,q,0.127279379
408,r,0.736395553
409,s,0.244560309
410,t,0.679954815
411,u,0.07329746
412,v,0.499914979
413,w,0.910783548
414,x,0.780864526
415,y,0.927964668
416,z,0.979671091
417,a,0.414531433
418,b,0.406034454
419,c,0.094740795
420,d,0.82127878
421,e,0.210253439
422,f,0.104994218
423,g,0.438562008
424,h,0.654064315
425,i,0.691512817
426,j,0.801383854
427,k,0.200727446
428,l,0.846026259
429,m,0.18091605
430,n,0.312631304
431,o,0.009096833
432,p,0.668990169
433,q,0.052331578
434,r,0.801597471
435,s,0.914826139
436,t,0.31768919
437,u,0.290068021
438,v,0.700915248
439,w,0.033027596
440,x,0.359859359
441,y,0.127813965
442,z,0.999526853
443,a,0.567115756
444,b,0.681750193
445,c,0.965517921
446,d,0.446459156
447,e,0.744858095
448,f,0.400001582
449,g,0.711708046
450,h,0.162944393
451,i,0.816099923
452,j,0.319060458
453,k,0.715034264
454,l,0.96751917
455,m,0.638752882
456,n,0.263749106
457,o,0.653391148
458,p,0.065365484
459,q,0.32879145
460,r,0.497450181
461,s,0.946436891
462,t,0.020040027
463,u,0.707354053
464,v,0.794697375
465,w,0.66099734
466,x,0.628450203
467,y,0.359473391
468,z,0.912384146
469,a,0.940860464
470,b,0.865250364
471,c,0.536145777
472,d,0.1689083
473,e,0.142348241
474,f,0.577204789
475,g,0.284565947
476,h,0.858954592
477,i,0.912270702
478,j,0.388191757
479,k,0.140232561
480,l,0.530781614
481,m,0.307983651
482,n,0.728059538
483,o,0.512503656
484,p,0.613290724
485,q,0.237915562
486,r,0.686050898
487,s,0.865239936
488,t,0.738619236
489,u,0.423638707
490,v,0.191980285
491,w,0.37156731
492,x,0.680421818
493,y,0.879393462
494,z,0.103696146
495,a,0.851132016
496,b,0.046324724
497,c,0.379238559
498,d,0.03237774
499,e,0.628295937
500,f,0.216689302
501,g,0.247706793
502,h,0.8250647
503,i,0.780961118
504,j,0.570232915
505,k,0.630347171
506,l,0.036915902
507,m,0.71397774
508,n,0.935740885
509,o,0.725050677
510,p,0.381617221
511,q,0.967585109
512,r,0.829502812
513,s,0.44587939
514,t,0.363241336
515,u,0.680314206
516,v,0.24690375
517,w,0.128565014
518,x,0.381607609
519,y,0.768175931
520,z,0.728707252
521,a,0.376427612
522,b,0.036393781
523,c,0.757586784
524,d,0.910641019
525,e,0.789972243
526,f,0.724466329
527,g,0.086909409
528,h,0.472541912
529,i,0.829780472
530,j,0.035673246
531,k,0.174059892
532,l,0.538315483
533,m,0.072240885
534,n,0.299230714
535,o,0.812073282
536,p,0.001341965
537,q,0.293180659
538,r,0.71970904
539,s,0.289422716
540,t,0.589989454
541,u,0.681685816
542,v,0.586924247
543,w,0.528990514
544,x,0.896185878
545,y,0.192337002
546,z,0.522687456
547,a,0.631145578
548,b,0.049360309
549,c,0.78273781
550,d,0.484059689
551,e,0.86014227
552,f,0.22309418
553,g,0.557286783
554,h,0.621719523
555,i,0.794676245
556,j,0.943335344
557,k,0.77504532
558,l,0.033576731
559,m,0.104639489
560,n,0.542834719
561,o,0.642616875
562,p,0.10804049
563,q,0.741696604
564,r,0.338352512
565,s,0.924028178
566,t,0.703568643
567,u,0.777881942
568,v,0.30146836
569,w,0.133630693
570,x,0.244927247
571,y,0.580772922
572,z,0.562912504
573,a,0.98740944
574,b,0.235205552
575,c,0.887160507
576,d,0.049624688
577,e,0.00062967
578,f,0.079581571
579,g,0.860638634
580,h,0.76407329
581,i,0.075872385
582,j,0.66039543
583,k,0.269741482
584,l,0.993685941
585,m,0.301279809
586,n,0.128983503
587,o,0.471818882
588,p,0.628659336
589,q,0.832834644
590,r,0.676534657
591,s,0.730994455
592,t,0.428654294
593,u,0.481420911
594,v,0.698284632
595,w,0.38881661
596,x,0.354622033
597,y,0.10089308
598,z,0.949168459
599,a,0.139765514
600,b,0.754401212
601,c,0.081205797
602,d,0.363051184
603,e,0.384734592
604,f,0.024239302
605,g,0.053329531
606,h,0.568663393
607,i,0.137088021
608,j,0.264206198
609,k,0.249511392
610,l,0.534866099
611,m,0.103977053
612,n,0.15525998
613,o,0.246361004
614,p,0.669225032
615,q,0.298403553
616,r,0.695156239
617,s,0.681356058
618,t,0.992654865
619,u,0.743085463
620,v,0.525877616
621,w,0.595451468
622,x,0.459552896
623,y,0.520054728
624,z,0.176583388
625,a,0.660921712
626,b,0.868665652
627,c,0.834261024
628,d,0.296942915
629,e,0.175988789
630,f,0.118937076
631,g,0.690576126
632,h,0.544023986
633,i,0.114643535
634,j,0.286049969
635,k,0.680535469
636,l,0.816336298
637,m,0.067543497
638,n,0.795495813
639,o,0.06887409
640,p,0.139628482
641,q,0.123480887
642,r,0.726550164
643,s,0.021332317
644,t,0.705563411
645,u,0.590657102
646,v,0.538384368
647,w,0.117623245
648,x,0.867310301
649,y,0.552299841
650,z,0.747066626
651,a,0.45725304
652,b,0.703548997
653,c,0.91456018
654,d,0.443118588
655,e,0.460374454
656,f,0.726401661
657,g,0.779177087
658,h,0.637400796
659,i,0.670842378
660,j,0.133326321
661,k,0.979173108
662,l,0.283966537
663,m,0.03144996
664,n,0.564103973
665,o,0.755506858
666,p,0.401371158
667,q,0.869153938
668,r,0.191887753
669,s,0.944857666
670,t,0.454238009
671,u,0.546077852
672,v,0.006035912
673,w,0.992328877
674,x,0.346465799
675,y,0.636189375
676,z,0.294368621
677,a,0.043191522
678,b,0.282071055
679,c,0.788824495
680,d,0.473445856
681,e,0.574488959
682,f,0.809932122
683,g,0.479779909
684,h,0.022974606
685,i,0.103000768
686,j,0.106405785
687,k,0.939534075
688,l,0.592538568
689,m,0.092804933
690,n,0.021216048
691,o,0.079392919
692,p,0.724628991
693,q,0.80180157
694,r,0.631734481
695,s,0.11297593
696,t,0.621068425
697,u,0.695434279
698,v,0.098220663
699,w,0.418444332
700,x,0.433186647
701,y,0.050290396
702,z,0.746642682
703,a,0.718037189
704,b,0.828783893
705,c,0.79693817
706,d,0.343668321
707,e,0.223639232
708,f,0.547522671
709,g,0.111896104
710,h,0.090948786
711,i,0.292814265
712,j,0.42384604
713,k,0.678215885
714,l,0.015037732
715,m,0.615452074
716,n,0.850575241
717,o,0.170402092
718,p,0.526617895
719,q,0.230609059
720,r,0.634722378
721,s,0.762255476
722,t,0.077318369
723,u,0.834452916
724,v,0.917540732
725,w,0.00078535
726,x,0.024318897
727,y,0.765597733
728,z,0.823446704
729,a,0.672854034
730,b,0.088514216
731,c,0.83760571
732,d,0.664406616
733,e,0.075868193
734,f,0.106059449
735,g,0.080086419
736,h,0.780432308
737,i,0.008937515
738,j,0.981854335
739,k,0.927243652
740,l,0.703461988
741,m,0.175298745
742,n,0.566323593
743,o,0.816131665
744,p,0.003451719
745,q,0.104820631
746,r,0.546765866
747,s,0.820415778
748,t,0.352067469
749,u,0.891353962
750,v,0.981445446
751,w,0.963734405
752,x,0.770805146
753,y,0.102925545
754,z,0.441160406
755,a,0.440050127
756,b,0.252858482
757,c,0.960779764
758,d,0.650693196
759,e,0.41121536
760,f,0.701356983
761,g,0.429904414
762,h,0.225557468
763,i,0.177474096
764,j,0.877509896
765,k,0.916079421
766,l,0.589117715
767,m,0.897407513
768,n,0.853613326
769,o,0.268170717
770,p,0.872314355
771,q,0.557572346
772,r,0.774764823
773,s,0.498652041
774,t,0.072973652
775,u,0.858098203
776,v,0.648331924
777,w,0.98702983
778,x,0.973158888
779,y,0.764264
780,z,0.932021378
781,a,0.607066551
782,b,0.087613718
783,c,0.867399858
784,d,0.691497318
785,e,0.867796831
786,f,0.200241399
787,g,0.704433446
788,h,0.928812099
789,i,0.035756783
790,j,0.573508128
791,k,0.239203433
792,l,0.682760372
793,m,0.786601863
794,n,0.980088477
795,o,0.900994106
796,p,0.02943302
797,q,0.9780445
798,r,0.028496295
799,s,0.199710907
800,t,0.435620742
801,u,0.52568651
802,v,0.437894835
803,w,0.915682211
804,x,0.886891783
805,y,0.475090991
806,z,0.039000713
807,a,0.107542864
808,b,0.186698085
809,c,0.590810251
810,d,0.824083264
811,e,0.465194123
812,f,0.274879051
813,g,0.225101442
814,h,0.949964133
815,i,0.249728009
816,j,0.479058485
817,k,0.16791579
818,l,0.817028603
819,m,0.400697577
820,n,0.59538254
821,o,0.194330707
822,p,0.752284485
823,q,0.795962217
824,r,0.808444942
825,s,0.304554717
826,t,0.878203514
827,u,0.684376937
828,v,0.740132064
829,w,0.136630761
830,x,0.764771979
831,y,0.06551846
832,z,0.294121787
833,a,0.632548033
834,b,0.25620745
835,c,0.513790578
836,d,0.717752785
837,e,0.948267824
838,f,0.426652535
839,g,0.700242179
840,h,0.522926844
841,i,0.200988964
842,j,0.642535988
843,k,0.018351816
844,l,0.238070317
845,m,0.445891046
846,n,0.683982353
847,o,0.479136427
848,p,0.73503652
849,q,0.540207118
850,r,0.777972636
851,s,0.218766142
852,t,0.12887621
853,u,0.381070741
854,v,0.836292841
855,w,0.157476839
856,x,0.146664552
857,y,0.741636266
858,z,0.126768383
859,a,0.758750948
860,b,0.806093198
861,c,0.81179787
862,d,0.351910735
863,e,0.535402302
864,f,0.538572166
865,g,0.631270456
866,h,0.295281271
867,i,0.294698782
868,j,0.458369719
869,k,0.854331761
870,l,0.052712241
871,m,0.176134463
872,n,0.974320253
873,o,0.487358459
874,p,0.612513968
875,q,0.592558075
876,r,0.150851036
877,s,0.169005426
878,t,0.966431854
879,u,0.096893227
880,v,0.474406547
881,w,0.23289657
882,x,0.332839685
883,y,0.743840544
884,z,0.951027005
885,a,0.026244028
886,b,0.245836176
887,c,0.299154802
888,d,0.630341284
889,e,0.423205631
890,f,0.455382774
891,g,0.637504567
892,h,0.378977193
893,i,0.303968494
894,j,0.935649943
895,k,0.639552854
896,l,0.913638613
897,m,0.153668459
898,n,0.036020519
899,o,0.801562605
900,p,0.853493643
901,q,0.073047687
902,r,0.377991638
903,s,0.814789938
904,t,0.347457786
905,u,0.180446401
906,v,0.502338827
907,w,0.589209329
908,x,0.800981367
909,y,0.329329574
910,z,0.418434353
911,a,0.905754283
912,b,0.353475892
913,c,0.700611491
914,d,0.923764635
915,e,0.662762202
916,f,0.752735361
917,g,0.318497169
918,h,0.021624811
919,i,0.302967808
920,j,0.064333673
921,k,0.357226695
922,l,0.044316471
923,m,0.971399239
924,n,0.901087413
925,o,0.489973364
926,p,0.820859796
927,q,0.714364849
928,r,0.533803165
929,s,0.44961045
930,t,0.399882597
931,u,0.035201451
932,v,0.370369985
933,w,0.074379748
934,x,0.210773978
935,y,0.621109567
936,z,0.922359499
937,a,0.340849275
938,b,0.544596196
939,c,0.081668217
940,d,0.668007075
941,e,0.533250663
942,f,0.408122421
943,g,0.783788269
944,h,0.344759841
945,i,0.337490358
946,j,0.647643139
947,k,0.804176847
948,l,0.130961075
949,m,0.983906627
950,n,0.483725963
951,o,0.964931764
952,p,0.181471814
953,q,0.520190109
954,r,0.187823699
955,s,0.954558885
956,t,0.118280908
957,u,0.96933732
958,v,0.09652954
959,w,0.600511561
960,x,0.526108899
961,y,0.664388506
962,z,0.759220481
963,a,0.96139867
964,b,0.31726607
965,c,0.455379937
966,d,0.494912905
967,e,0.013974219
968,f,0.451432294
969,g,0.964056198
970,h,0.227341807
971,i,0.002312697
972,j,0.740430901
973,k,0.492071384
974,l,0.421150377
975,m,0.821002334
976,n,0.48254206
977,o,0.321645746
978,p,0.742220055
979,q,0.716858495
980,r,0.385565166
981,s,0.275788964
982,t,0.646210191
983,u,0.049102723
984,v,0.577365801
985,w,0.51069521
986,x,0.459892083
987,y,0.73778694
988,z,0.937731329
989,a,0.881363646
990,b,0.722939685
991,c,0.683211628
992,d,0.832898324
993,e,0.382616954
994,f,0.355314404
995,g,0.486465928
996,h,0.829171096
997,i,0.591175422
998,j,0.683090057
999,k,0.100246273
1000,1000,char1
1001,1002,char2
1002,1003,char3
1003,1004,char4
1004,1005,char5
1005,1006.4,char6
1006,1007.6,char7
1007,1008.8,char8
1008,1010,char9
1009,1011.2,char10
1010,1012.4,char11
1011,1013.6,char12
1012,1014.8,char13
1013,1016,char14
1014,1017.2,char15
1015,1018.4,char16
1016,1019.6,char17
1017,1020.8,char18
1018,1022,char19
1019,1023.2,char20
1020,1024.4,char21
1021,1025.6,char22
1022,1026.8,char23
1023,1028,char24
1024,1029.2,char25
1025,1030.4,char26
1026,1031.6,char27
1027,1032.8,char28
1028,1034,char29
1029,1035.2,char30
1030,1036.4,char31
1031,1037.6,char32
1032,1038.8,char33
1033,1040,char34
1034,1041.2,char35
1035,1042.4,char36
1036,1043.6,char37
1037,1044.8,char38
1038,1046,char39
1039,1047.2,char40
1040,1048.4,char41
1041,1049.6,char42
1042,1050.8,char43
1043,1052,char44
1044,1053.2,char45
1045,1054.4,char46
1046,1055.6,char47
1047,1056.8,char48
1048,1058,char49
1049,1059.2,char50
1050,1060.4,char51
1051,1061.6,char52
1052,1062.8,char53
1053,1064,char54
1054,1065.2,char55
1055,1066.4,char56
1056,1067.6,char57
1057,1068.8,char58
1058,1070,char59
1059,1071.2,char60
1060,1072.4,char61
1061,1073.6,char62
1062,1074.8,char63
1063,1076,char64
1064,1077.2,char65
1065,1078.4,char66
1066,1079.6,char67
1067,1080.8,char68
1068,1082,char69
1069,1083.2,char70
1070,1084.4,char71
1071,1085.6,char72
1072,1086.8,char73
1073,1088,char74
1074,1089.2,char75
1075,1090.4,char76
1076,1091.6,char77
1077,1092.8,char78
1078,1094,char79
1079,1095.2,char80
1080,1096.4,char81
1081,1097.6,char82
1082,1098.8,char83
1083,1100,char84
1084,1101.2,char85
1085,1102.4,char86
1086,1103.6,char87
1087,1104.8,char88
1088,1106,char89
1089,1107.2,char90
1090,1108.4,char91
1091,1109.6,char92
1092,1110.8,char93
1093,1112,char94
1094,1113.2,char95
1095,1114.4,char96
1096,1115.6,char97
1097,1116.8,char98
1098,1118,char99
1099,1119.2,char100
1100,1120.4,char101
1101,1121.6,char102
1102,1122.8,char103
1103,1124,char104
1104,1125.2,char105
1105,1126.4,char106
1106,1127.6,char107
1107,1128.8,char108
1108,1130,char109
1109,1131.2,char110
1110,1132.4,char111
1111,1133.6,char112
1112,1134.8,char113
1113,1136,char114
1114,1137.2,char115
1115,1138.4,char116
1116,1139.6,char117
1117,1140.8,char118
1118,1142,char119
1119,1143.2,char120
1120,1144.4,char121
1121,1145.6,char122
1122,1146.8,char123
1123,1148,char124
1124,1149.2,char125
1125,1150.4,char126
1126,1151.6,char127
1127,1152.8,char128
1128,1154,char129
1129,1155.2,char130
1130,1156.4,char131
1131,1157.6,char132
1132,1158.8,char133
1133,1160,char134
1134,1161.2,char135
1135,1162.4,char136
1136,1163.6,char137
1137,1164.8,char138
1138,1166,char139
1139,1167.2,char140
1140,1168.4,char141
1141,1169.6,char142
1142,1170.8,char143
1143,1172,char144
1144,1173.2,char145
1145,1174.4,char146
1146,1175.6,char147
1147,1176.8,char148
1148,1178,char149
1149,1179.2,char150
1150,1180.4,char151
1151,1181.6,char152
1152,1182.8,char153
1153,1184,char154
1154,1185.2,char155
1155,1186.4,char156
1156,1187.6,char157
1157,1188.8,char158
1158,1190,char159
1159,1191.2,char160
1160,1192.4,char161
1161,1193.6,char162
1162,1194.8,char163
1163,1196,char164
1164,1197.2,char165
1165,1198.4,char166
1166,1199.6,char167
1167,1200.8,char168
1168,1202,char169
1169,1203.2,char170
1170,1204.4,char171
1171,1205.6,char172
1172,1206.8,char173
1173,1208,char174
1174,1209.2,char175
1175,1210.4,char176
1176,1211.6,char177
1177,1212.8,char178
1178,1214,char179
1179,1215.2,char180
1180,1216.4,char181
1181,1217.6,char182
1182,1218.8,char183
1183,1220,char184
1184,1221.2,char185
1185,1222.4,char186
1186,1223.6,char187
1187,1224.8,char188
1188,1226,char189
1189,1227.2,char190
1190,1228.4,char191
1191,1229.6,char192
1192,1230.8,char193
1193,1232,char194
1194,1233.2,char195
1195,1234.4,char196
1196,1235.6,char197
1197,1236.8,char198
1198,1238,char199
1199,1239.2,char200
1200,1240.4,char201
1201,1241.6,char202
1202,1242.8,char203
1203,1244,char204
1204,1245.2,char205
1205,1246.4,char206
1206,1247.6,char207
1207,1248.8,char208
1208,1250,char209
1209,1251.2,char210
1210,1252.4,char211
1211,1253.6,char212
1212,1254.8,char213
1213,1256,char214
1214,1257.2,char215
1215,1258.4,char216
1216,1259.6,char217
1217,1260.8,char218
1218,1262,char219
1219,1263.2,char220
1220,1264.4,char221
1221,1265.6,char222
1222,1266.8,char223
1223,1268,char224
1224,1269.2,char225
1225,1270.4,char226
1226,1271.6,char227
1227,1272.8,char228
1228,1274,char229
1229,1275.2,char230
1230,1276.4,char231
1231,1277.6,char232
1232,1278.8,char233
1233,1280,char234
1234,1281.2,char235
1235,1282.4,char236
1236,1283.6,char237
1237,1284.8,char238
1238,1286,char239
1239,1287.2,char240
1240,1288.4,char241
1241,1289.6,char242
1242,1290.8,char243
1243,1292,char244
1244,1293.2,char245
1245,1294.4,char246
1246,1295.6,char247
1247,1296.8,char248
1248,1298,char249
1249,1299.2,char250
1250,1300.4,char251
1251,1301.6,char252
1252,1302.8,char253
1253,1304,char254
1254,1305.2,char255
1255,1306.4,char256
1256,1307.6,char257
1257,1308.8,char258
1258,1310,char259
1259,1311.2,char260
1260,1312.4,char261
1261,1313.6,char262
1262,1314.8,char263
1263,1316,char264
1264,1317.2,char265
1265,1318.4,char266
1266,1319.6,char267
1267,1320.8,char268
1268,1322,char269
1269,1323.2,char270
1270,1324.4,char271
1271,1325.6,char272
1272,1326.8,char273
1273,1328,char274
1274,1329.2,char275
1275,1330.4,char276
1276,1331.6,char277
1277,1332.8,char278
1278,1334,char279
1279,1335.2,char280
1280,1336.4,char281
1281,1337.6,char282
1282,1338.8,char283
1283,1340,char284
1284,1341.2,char285
1285,1342.4,char286
1286,1343.6,char287
1287,1344.8,char288
1288,1346,char289
1289,1347.2,char290
1290,1348.4,char291
1291,1349.6,char292
1292,1350.8,char293
1293,1352,char294
1294,1353.2,char295
1295,1354.4,char296
1296,1355.6,char297
1297,1356.8,char298
1298,1358,char299
1299,1359.2,char300
1300,1360.4,char301
1301,1361.6,char302
1302,1362.8,char303
1303,1364,char304
1304,1365.2,char305
1305,1366.4,char306
1306,1367.6,char307
1307,1368.8,char308
1308,1370,char309
1309,1371.2,char310
1310,1372.4,char311
1311,1373.6,char312
1312,1374.8,char313
1313,1376,char314
1314,1377.2,char315
1315,1378.4,char316
1316,1379.6,char317
1317,1380.8,char318
1318,1382,char319
1319,1383.2,char320
1320,1384.4,char321
1321,1385.6,char322
1322,1386.8,char323
1323,1388,char324
1324,1389.2,char325
1325,1390.4,char326
1326,1391.6,char327
1327,1392.8,char328
1328,1394,char329
1329,1395.2,char330
1330,1396.4,char331
1331,1397.6,char332
1332,1398.8,char333
1333,1400,char334
1334,1401.2,char335
1335,1402.4,char336
1336,1403.6,char337
1337,1404.8,char338
1338,1406,char339
1339,1407.2,char340
1340,1408.4,char341
1341,1409.6,char342
1342,1410.8,char343
1343,1412,char344
1344,1413.2,char345
1345,1414.4,char346
1346,1415.6,char347
1347,1416.8,char348
1348,1418,char349
1349,1419.2,char350
1350,1420.4,char351
1351,1421.6,char352
1352,1422.8,char353
1353,1424,char354
1354,1425.2,char355
1355,1426.4,char356
1356,1427.6,char357
1357,1428.8,char358
1358,1430,char359
1359,1431.2,char360
1360,1432.4,char361
1361,1433.6,char362
1362,1434.8,char363
1363,1436,char364
1364,1437.2,char365
1365,1438.4,char366
1366,1439.6,char367
1367,1440.8,char368
1368,1442,char369
1369,1443.2,char370
1370,1444.4,char371
1371,1445.6,char372
1372,1446.8,char373
1373,1448,char374
1374,1449.2,char375
1375,1450.4,char376
1376,1451.6,char377
