col1_num	col2_char	col3_NumChar	col4_CharNum
471	c	471	c
472	d	472	d
473	e	473	e
474	f	474	f
475	g	475	g
476	h	476	h
477	i	477	i
478	j	478	j
479	k	479	k
480	l	480	l
481	m	481	m
482	n	482	n
483	o	483	o
484	p	484	p
485	q	485	q
486	r	486	r
487	s	487	s
488	t	488	t
489	u	489	u
490	v	490	v
491	w	491	w
492	x	492	x
493	y	493	y
494	z	494	z
495	a	495	a
496	b	496	b
497	c	497	c
498	d	498	d
499	e	499	e
500	f	500	f
501	g	501	g
502	h	502	h
503	i	503	i
504	j	504	j
505	k	505	k
506	l	506	l
507	m	507	m
508	n	508	n
509	o	509	o
510	p	510	p
511	q	511	q
512	r	512	r
513	s	513	s
514	t	514	t
515	u	515	u
516	v	516	v
517	w	517	w
518	x	518	x
519	y	519	y
520	z	520	z
521	a	521	a
522	b	522	b
523	c	523	c
524	d	524	d
525	e	525	e
526	f	526	f
527	g	527	g
528	h	528	h
529	i	529	i
530	j	530	j
531	k	531	k
532	l	532	l
533	m	533	m
534	n	534	n
535	o	535	o
536	p	536	p
537	q	537	q
538	r	538	r
539	s	539	s
540	t	540	t
541	u	541	u
542	v	542	v
543	w	543	w
544	x	544	x
545	y	545	y
546	z	546	z
547	a	547	a
548	b	548	b
549	c	549	c
550	d	550	d
551	e	551	e
552	f	552	f
553	g	553	g
554	h	554	h
555	i	555	i
556	j	556	j
557	k	557	k
558	l	558	l
559	m	559	m
560	n	560	n
561	o	561	o
562	p	562	p
563	q	563	q
564	r	564	r
565	s	565	s
566	t	566	t
567	u	567	u
568	v	568	v
569	w	569	w
570	x	570	x
571	y	571	y
572	z	572	z
573	a	573	a
574	b	574	b
575	c	575	c
576	d	576	d
577	e	577	e
578	f	578	f
579	g	579	g
580	h	580	h
581	i	581	i
582	j	582	j
583	k	583	k
584	l	584	l
585	m	585	m
586	n	586	n
587	o	587	o
588	p	588	p
589	q	589	q
590	r	590	r
591	s	591	s
592	t	592	t
593	u	593	u
594	v	594	v
595	w	595	w
596	x	596	x
597	y	597	y
598	z	598	z
599	a	599	a
600	b	600	b
601	c	601	c
602	d	602	d
603	e	603	e
604	f	604	f
605	g	605	g
606	h	606	h
607	i	607	i
608	j	608	j
609	k	609	k
610	l	610	l
611	m	611	m
612	n	612	n
613	o	613	o
614	p	614	p
615	q	615	q
616	r	616	r
617	s	617	s
618	t	618	t
619	u	619	u
620	v	620	v
621	w	621	w
622	x	622	x
623	y	623	y
624	z	624	z
625	a	625	a
626	b	626	b
627	c	627	c
628	d	628	d
629	e	629	e
630	f	630	f
631	g	631	g
632	h	632	h
633	i	633	i
634	j	634	j
635	k	635	k
636	l	636	l
637	m	637	m
638	n	638	n
639	o	639	o
640	p	640	p
641	q	641	q
642	r	642	r
643	s	643	s
644	t	644	t
645	u	645	u
646	v	646	v
647	w	647	w
648	x	648	x
649	y	649	y
650	z	650	z
651	a	651	a
652	b	652	b
653	c	653	c
654	d	654	d
655	e	655	e
656	f	656	f
657	g	657	g
658	h	658	h
659	i	659	i
660	j	660	j
661	k	661	k
662	l	662	l
663	m	663	m
664	n	664	n
665	o	665	o
666	p	666	p
667	q	667	q
668	r	668	r
669	s	669	s
670	t	670	t
671	u	671	u
672	v	672	v
673	w	673	w
674	x	674	x
675	y	675	y
676	z	676	z
677	a	677	a
678	b	678	b
679	c	679	c
680	d	680	d
681	e	681	e
682	f	682	f
683	g	683	g
684	h	684	h
685	i	685	i
686	j	686	j
687	k	687	k
688	l	688	l
689	m	689	m
690	n	690	n
691	o	691	o
692	p	692	p
693	q	693	q
694	r	694	r
695	s	695	s
696	t	696	t
697	u	697	u
698	v	698	v
699	w	699	w
700	x	700	x
701	y	701	y
702	z	702	z
703	a	703	a
704	b	704	b
705	c	705	c
706	d	706	d
707	e	707	e
708	f	708	f
709	g	709	g
710	h	710	h
711	i	711	i
712	j	712	j
713	k	713	k
714	l	714	l
715	m	715	m
716	n	716	n
717	o	717	o
718	p	718	p
719	q	719	q
720	r	720	r
721	s	721	s
722	t	722	t
723	u	723	u
724	v	724	v
725	w	725	w
726	x	726	x
727	y	727	y
728	z	728	z
729	a	729	a
730	b	730	b
731	c	731	c
732	d	732	d
733	e	733	e
734	f	734	f
735	g	735	g
736	h	736	h
737	i	737	i
738	j	738	j
739	k	739	k
740	l	740	l
741	m	741	m
742	n	742	n
743	o	743	o
744	p	744	p
745	q	745	q
746	r	746	r
747	s	747	s
748	t	748	t
749	u	749	u
750	v	750	v
751	w	751	w
752	x	752	x
753	y	753	y
754	z	754	z
755	a	755	a
756	b	756	b
757	c	757	c
758	d	758	d
759	e	759	e
760	f	760	f
761	g	761	g
762	h	762	h
763	i	763	i
764	j	764	j
765	k	765	k
766	l	766	l
767	m	767	m
768	n	768	n
769	o	769	o
770	p	770	p
771	q	771	q
772	r	772	r
773	s	773	s
774	t	774	t
775	u	775	u
776	v	776	v
777	w	777	w
778	x	778	x
779	y	779	y
780	z	780	z
781	a	781	a
782	b	782	b
783	c	783	c
784	d	784	d
785	e	785	e
786	f	786	f
787	g	787	g
788	h	788	h
789	i	789	i
790	j	790	j
791	k	791	k
792	l	792	l
793	m	793	m
794	n	794	n
795	o	795	o
796	p	796	p
797	q	797	q
798	r	798	r
799	s	799	s
800	t	800	t
801	u	801	u
802	v	802	v
803	w	803	w
804	x	804	x
805	y	805	y
806	z	806	z
807	a	807	a
808	b	808	b
809	c	809	c
810	d	810	d
811	e	811	e
812	f	812	f
813	g	813	g
814	h	814	h
815	i	815	i
816	j	816	j
817	k	817	k
818	l	818	l
819	m	819	m
820	n	820	n
821	o	821	o
822	p	822	p
823	q	823	q
824	r	824	r
825	s	825	s
826	t	826	t
827	u	827	u
828	v	828	v
829	w	829	w
830	x	830	x
831	y	831	y
832	z	832	z
833	a	833	a
834	b	834	b
835	c	835	c
836	d	836	d
837	e	837	e
838	f	838	f
839	g	839	g
840	h	840	h
841	i	841	i
842	j	842	j
843	k	843	k
844	l	844	l
845	m	845	m
846	n	846	n
847	o	847	o
848	p	848	p
849	q	849	q
850	r	850	r
851	s	851	s
852	t	852	t
853	u	853	u
854	v	854	v
855	w	855	w
856	x	856	x
857	y	857	y
858	z	858	z
859	a	859	a
860	b	860	b
861	c	861	c
862	d	862	d
863	e	863	e
864	f	864	f
865	g	865	g
866	h	866	h
867	i	867	i
868	j	868	j
869	k	869	k
870	l	870	l
871	m	871	m
872	n	872	n
873	o	873	o
874	p	874	p
875	q	875	q
876	r	876	r
877	s	877	s
878	t	878	t
879	u	879	u
880	v	880	v
881	w	881	w
882	x	882	x
883	y	883	y
884	z	884	z
885	a	885	a
886	b	886	b
887	c	887	c
888	d	888	d
889	e	889	e
890	f	890	f
891	g	891	g
892	h	892	h
893	i	893	i
894	j	894	j
895	k	895	k
896	l	896	l
897	m	897	m
898	n	898	n
899	o	899	o
900	p	900	p
901	q	901	q
902	r	902	r
903	s	903	s
904	t	904	t
905	u	905	u
906	v	906	v
907	w	907	w
908	x	908	x
909	y	909	y
910	z	910	z
911	a	911	a
912	b	912	b
913	c	913	c
914	d	914	d
915	e	915	e
916	f	916	f
917	g	917	g
918	h	918	h
919	i	919	i
920	j	920	j
921	k	921	k
922	l	922	l
923	m	923	m
924	n	924	n
925	o	925	o
926	p	926	p
927	q	927	q
928	r	928	r
929	s	929	s
930	t	930	t
931	u	931	u
932	v	932	v
933	w	933	w
934	x	934	x
935	y	935	y
936	z	936	z
937	a	937	a
938	b	938	b
939	c	939	c
940	d	940	d
941	e	941	e
942	f	942	f
943	g	943	g
944	h	944	h
945	i	945	i
946	j	946	j
947	k	947	k
948	l	948	l
949	m	949	m
950	n	950	n
951	o	951	o
952	p	952	p
953	q	953	q
954	r	954	r
955	s	955	s
956	t	956	t
957	u	957	u
958	v	958	v
959	w	959	w
960	x	960	x
961	y	961	y
962	z	962	z
963	a	963	a
964	b	964	b
965	c	965	c
966	d	966	d
967	e	967	e
968	f	968	f
969	g	969	g
970	h	970	h
971	i	971	i
972	j	972	j
973	k	973	k
974	l	974	l
975	m	975	m
976	n	976	n
977	o	977	o
978	p	978	p
979	q	979	q
980	r	980	r
981	s	981	s
982	t	982	t
983	u	983	u
984	v	984	v
985	w	985	w
986	x	986	x
987	y	987	y
988	z	988	z
989	a	989	a
990	b	990	b
991	c	991	c
992	d	992	d
993	e	993	e
994	f	994	f
995	g	995	g
996	h	996	h
997	i	997	i
998	j	998	j
999	k	999	k
1000	l	1000	l
1001	m	1001	m
1002	n	1002	n
1003	o	1003	o
1004	p	1004	p
1005	q	1005	q
1006	r	1006	r
1007	s	1007	s
1008	t	1008	t
1009	u	1009	u
1010	v	v	1010
1011	w	w	1011
1012	x	x	1012
1013	y	y	1013
1014	z	z	1014
1015	a	a	1015
1016	b	b	1016
1017	c	c	1017
1018	d	d	1018
1019	e	e	1019
1020	f	f	1020
1021	g	g	1021
1022	h	h	1022
1023	i	i	1023
1024	j	j	1024
1025	k	k	1025
1026	l	l	1026
1027	m	m	1027
1028	n	n	1028
1029	o	o	1029
1030	p	p	1030
1031	q	q	1031
1032	r	r	1032
1033	s	s	1033
1034	t	t	1034
1035	u	u	1035
1036	v	v	1036
1037	w	w	1037
1038	x	x	1038
1039	y	y	1039
1040	z	z	1040
1041	a	a	1041
1042	b	b	1042
1043	c	c	1043
1044	d	d	1044
1045	e	e	1045
1046	f	f	1046
1047	g	g	1047
1048	h	h	1048
1049	i	i	1049
1050	j	j	1050
1051	k	k	1051
1052	l	l	1052
1053	m	m	1053
1054	n	n	1054
1055	o	o	1055
1056	p	p	1056
1057	q	q	1057
1058	r	r	1058
1059	s	s	1059
1060	t	t	1060
1061	u	u	1061
1062	v	v	1062
1063	w	w	1063
1064	x	x	1064
1065	y	y	1065
1066	z	z	1066
1067	a	a	1067
1068	b	b	1068
1069	c	c	1069
1070	d	d	1070
1071	e	e	1071
1072	f	f	1072
1073	g	g	1073
1074	h	h	1074
1075	i	i	1075
1076	j	j	1076
1077	k	k	1077
1078	l	l	1078
1079	m	m	1079
1080	n	n	1080
1081	o	o	1081
1082	p	p	1082
1083	q	q	1083
1084	r	r	1084
1085	s	s	1085
1086	t	t	1086
1087	u	u	1087
1088	v	v	1088
1089	w	w	1089
1090	x	x	1090
1091	y	y	1091
1092	z	z	1092
1093	a	a	1093
1094	b	b	1094
1095	c	c	1095
1096	d	d	1096
1097	e	e	1097
1098	f	f	1098
1099	g	g	1099
